368 Sweetnam, Skye
170 Aiken, Clay
1049 Rickover, Hyman G.
1902 Cabell, James Branch
1434 Badnarik, Michael
759 Spock, Benjamin
1069 Louis, Joe
1500 Cocteau, Jean
1158 Olsen, Mary-Kate and Ashley
643 Carlyle, Thomas
1659 Ip, Regina
148 Hopkins, Gerard Manley
319 Webster, Noah
209 Paterson, Isabel
124 Johnson, Samuel
667 Armstrong, Edwin
1415 Ingersoll, Robert G.
1489 Wright, Wilbur
1292 Craik, Dinah
584 Hemingway, Ernest
637 Smith, Anna Nicole
211 Ba Jin
79 Clark, Wesley
489 More, Hannah
477 Marcus Aurelius
258 Mitchell, John
762 Heraclitus
142 Kalidas
688 Elliot, Jim
179 Trollope, Anthony
1864 Petronius, Gaius
873 Orwell, George
1300 Morley, Christopher
1835 Kripke, Saul
1261 Lastman, Mel
1423 McCain, John
733 Kennan, George F.
1237 Roosevelt, Theodore
143 Peguy, Charles
105 Bailey, Philip James
1737 Schaar, John
1827 Wright, Steven
1216 Wilson, Eugene S.
663 Morris, Errol
405 Warner, Harold
929 Czar Nicholas II
274 Halme, Tony
707 Cunningham, Ward
1918 Brazauskas, Algirdas
1620 Hope, Bob
624 James, Donald
528 Shevardnadze, Eduard
526 Inge, William Ralph
1597 Traficant, James A., Jr.
1305 Drucker, Peter F.
568 Noli, Fan
1145 Garrison, William Lloyd
1329 Heisenberg, Werner
497 Gary, Romain
1662 Fitzgerald, Patrick
1201 Lee, Ang
212 Conlon, Fred
953 MacArthur, Douglas
514 Gibson, William Ford
71 Rothschild, Baron
678 Robinson, Spider
946 Wyden, Ron
765 Camus, Albert
1614 Barry, Dave
436 Disraeli, Benjamin
1699 Hatshepsut
1173 Stein, Ben
263 Goldwater, Barry
239 Catt, Michael
1094 Didion, Joan
661 Vivekananda, Swami
445 Mara, Ratu Sir Kamisese
1015 Yutang, Lin
83 Yockey, Francis Parker
1878 Frostrup, Mariella
932 Ellison, Harlan
1861 Olson, Ken
1758 Chesterton, Gilbert Keith
1163 More, St. Thomas
1635 Bossidy, John Collins
1694 McLuhan, Marshall
638 Baker, Jack
276 Nelson, Horatio
1458 Cho, Margaret
919 Saint-Just, Louis de
518 Degas, Edgar
100 Philips, Emo
839 Macaulay, Thomas Babington
1782 Barnes, Jack
56 Walesa, Lech
685 Lanne, Jack La
928 Sawyer, Diane
1570 Limbaugh, Rush
1733 Colette
1908 Suzuka, Shunryu
1359 Akinola, Peter Jasper (Archbishop)
1404 Apple, Fiona
129 Mahavira
1688 Gaultier, Jules de
